field,value
generated,2026-09-15 14:07:59 CEST
released_data,data/ai_faces_study.csv
r_version,R version 3.6.3 (2020-02-29)
random_seed,20260908
bootstrap_repetitions,500
coefficient_simulations,2000
git_commit,ad03783b997c82dce4a2c7dd597122148e8175b2
git_worktree_dirty,TRUE
primary_accuracy_formula,correct ~ trial_stratum + target_emotion + trial_position_z +      task_position + (1 | participant_id) + (1 | stimulus_id)
primary_rt_formula,log_rt ~ trial_stratum + target_emotion + trial_position_z +      task_position + (1 | participant_id) + (1 | stimulus_id)
